epoch,train_loss,test_loss,train_acc,test_acc
150,1.7784352578470468,1.1901339155197144,70.596,70.7
151,1.721032659263562,1.161780035018921,71.998,71.33
152,1.7292255740946212,1.1558483070373535,71.106,71.66
153,1.7630707848712306,1.2006211254119874,70.562,70.84
154,1.6724700084732622,1.1625208585739135,72.678,71.43
155,1.6738469012253119,1.131237999534607,73.716,72.32
156,1.689040493782219,1.1665873723983764,73.196,71.58
157,1.616033309713349,1.0924620735168458,74.698,73.65
158,1.6181475192384647,1.1114644249916077,75.174,73.15
159,1.6404103203807645,1.1257912085533142,74.32,72.93
160,1.6264405300855027,1.1119265304565429,74.658,73.14
161,1.604713039477463,1.0849169328689576,74.652,72.98
162,1.5547563968716984,1.0893030944824218,76.064,73.98
163,1.496801647231402,1.0449519569396972,78.758,74.72
164,1.5842078636064554,1.0495047361373901,76.028,74.76
165,1.5835446137601457,1.0518440916061402,76.244,75.14
